symbol,market,strategy_id,timeframe,direction,entryDate,exitDate,entry,exit,pnl,holdDays,prob,regPred,tsPred,score
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-08-15T00:00:00.000Z,2025-08-22T00:00:00.000Z,116443.32589263332,116064.34635070927,0.01343684622096394,7,0.17972694090420718,-0.005095714147776222,-0.0026455329302707397,0.6297623157311806
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-08-15T00:00:00.000Z,2025-08-22T00:00:00.000Z,116569.92572445725,116166.53764627322,0.013281268705038471,7,0.17997960818719785,-0.0029335977991180153,-0.0018980531483927146,0.6122834644981616
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-08-18T00:00:00.000Z,2025-08-25T00:00:00.000Z,115355.53446970438,109661.21891017948,0.03542238205801291,7,0.16324361614854832,-0.005067932586372258,-0.003893434533891255,0.6414080570640232
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-08-18T00:00:00.000Z,2025-08-25T00:00:00.000Z,115462.2625535584,109863.27368468234,0.03476895344666553,7,0.16299484525882257,-0.002952321647205181,-0.0031275246139662845,0.6246622845912891
ETHUSDT-PERP,FUTURES,MOM_FAST,1d,SHORT,2025-09-06T00:00:00.000Z,2025-09-10T00:00:00.000Z,3937.0837279451825,4007.259596289035,-0.019624327139844244,4,0.22567499484262718,-0.005166132281442046,-0.0019147054313003588,0.5970430619648447
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-09-07T00:00:00.000Z,2025-09-11T00:00:00.000Z,110284.33743451639,113616.24236668386,-0.03181195039727065,4,0.1856214100840316,-0.00582130108792602,-0.0026728017672651974,0.6313229934429052
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-09-07T00:00:00.000Z,2025-09-11T00:00:00.000Z,110406.04343467456,113702.50829781266,-0.031457648735402445,4,0.18610532249598694,-0.0037423516921283088,-0.001940209789447717,0.6143429813399157
ETHUSDT-PERP,FUTURES,MOM_TIGHT,1d,SHORT,2025-09-09T00:00:00.000Z,2025-09-12T00:00:00.000Z,3970.9181924435125,4138.327408794588,-0.044158817743878094,3,0.24588981281904965,-0.006600745215397814,-0.003537064935842894,0.5937652964934668
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-09-10T00:00:00.000Z,2025-09-17T00:00:00.000Z,113085.03298562812,116413.06740606218,-0.03102948622437969,7,0.19480193593155448,-0.005684005741560917,-0.0030802616327470266,0.623614652061768
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-09-10T00:00:00.000Z,2025-09-17T00:00:00.000Z,113210.13000505061,116507.44031284786,-0.030725576550880616,7,0.19508786280920715,-0.0035917214316293815,-0.0023429202121124986,0.6066705102304057
ETHUSDT-PERP,FUTURES,MOM_TIGHT,1d,SHORT,2025-09-12T00:00:00.000Z,2025-09-15T00:00:00.000Z,4341.825398873985,4167.36269702466,0.033239332089245906,3,0.2673052605481725,-0.010299450301831077,-0.007077655778386435,0.6079358148199644
BTCUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-09-13T00:00:00.000Z,2025-09-20T00:00:00.000Z,115036.92159309072,114800.81644488654,0.0004524292977808708,7,0.18158144665284032,-0.010367357004280101,-0.002851983885466891,0.6706002144441957
BTCUSDT,CRYPTO,MOM_SWING,1d,SHORT,2025-09-13T00:00:00.000Z,2025-09-20T00:00:00.000Z,115155.53423010842,114924.40515984714,0.0004071034519228893,7,0.18081962463454035,-0.008233350085195682,-0.0020894806007726308,0.6540766709446963
ETHUSDT-PERP,FUTURES,MOM_SWING,1d,SHORT,2025-09-14T00:00:00.000Z,2025-09-21T00:00:00.000Z,4241.520174919935,4094.9840400632384,0.03686633414998767,7,0.22318472047884594,-0.014246780575493799,-0.00605468294454299,0.6716812458591812
