标的代码,市场,策略ID,周期,方向,入场时间(UTC),出场时间(UTC),入场价,出场价,收益率,持仓K线数,模型概率,回归预测,短周期预测,综合评分
ETHUSDT-PERP,加密期货,MOM_SWING,1d,做空,2025-06-01T00:00:00.000Z,2025-06-08T00:00:00.000Z,2366.92034315922,2339.342380935791,0.03194365870770375,7,0.17181613452586295,-0.0029135530397559144,-0.0006933103541838443,0.618000807459426
ETHUSDT-PERP,加密期货,MOM_TIGHT,1d,做空,2025-06-01T00:00:00.000Z,2025-06-04T00:00:00.000Z,2366.92034315922,2485.011479880791,-0.051892315583358425,3,0.17181613452586295,-0.0029135530397559144,-0.0006933103541838443,0.617600807459426
ETHUSDT-PERP,加密期货,MOM_FAST,1d,做空,2025-06-01T00:00:00.000Z,2025-06-04T00:00:00.000Z,2366.92034315922,2498.132717294299,-0.057235906203731625,3,0.17181613452586295,-0.0029135530397559144,-0.0006933103541838443,0.617800807459426
ETHUSDT,加密现货,MOM_SWING,1d,做空,2025-06-01T00:00:00.000Z,2025-06-08T00:00:00.000Z,2364.794060859417,2337.432145339216,0.03145317463740366,7,0.17093694845209864,-0.0029087464935406795,-0.0000694777562192061,0.6185953690628144
ETHUSDT,加密现货,MOM_TIGHT,1d,做空,2025-06-01T00:00:00.000Z,2025-06-04T00:00:00.000Z,2364.794060859417,2480.8634488263824,-0.051082239290123684,3,0.17093694845209864,-0.0029087464935406795,-0.0000694777562192061,0.6181953690628145
ETHUSDT,加密现货,MOM_FAST,1d,做空,2025-06-01T00:00:00.000Z,2025-06-04T00:00:00.000Z,2364.794060859417,2493.7600474893784,-0.0563358214334707,3,0.17093694845209864,-0.0029087464935406795,-0.0000694777562192061,0.6183953690628144
ETHUSDT,加密现货,CR_CARRY,1d,做空,2025-06-01T00:00:00.000Z,2025-06-04T00:00:00.000Z,2364.794060859417,2493.7600474893784,-0.056935821433470694,3,0.17093694845209864,-0.0029087464935406795,-0.0000694777562192061,0.6177953690628145
OPEN,美股,MOM_SWING,1d,做空,2025-06-06T00:00:00.000Z,2025-06-16T00:00:00.000Z,0.8307703213671148,0.6806939951732184,0.1338853943990178,6,0.19209048213195098,-0.004561345869266116,0.000737828993742158,0.6165856198191241
OPEN,美股,US_BETA,1d,做空,2025-06-06T00:00:00.000Z,2025-06-09T00:00:00.000Z,0.8307703213671148,0.7482283419604717,0.07683314673276041,1,0.19209048213195098,-0.004561345869266116,0.000737828993742158,0.6159856198191241
ETHUSDT-PERP,加密期货,MOM_TIGHT,1d,做空,2025-06-07T00:00:00.000Z,2025-06-09T00:00:00.000Z,2353.406488826535,2470.353869061106,-0.05169280946143874,2,0.17345655069473273,-0.0033369892410946,-0.00019465119999893715,0.6198071974285492
