symbol,market,strategy_id,phase_id,timeframe,direction,entryDate,exitDate,entry,exit,pnl,holdDays,prob,regPred,tsPred,score
BTCUSDT-PERP,FUTURES,FUNDING_DISLOCATION,JAN_SELL_PRESSURE,1d,LONG,2026-01-01T00:52:11.000Z,2026-01-03T12:00:24.620Z,110409.1608410228,104047.5398422111,-0.0576185975,2.4640465391,0.6473480522,0.0258873557,0.0132356292,0.6619938292
BTCUSDT,CRYPTO,OI_FLUSH_RECLAIM,JAN_SELL_PRESSURE,1d,LONG,2026-01-01T00:55:18.000Z,2026-01-03T03:32:08.864Z,109863.2973530429,102930.2351283439,-0.0631062638,2.1089220378,0.6289314622,0.0302578529,0.0156288829,0.6673919497
QQQ,US,OVERBOUGHT_FADE,JAN_SELL_PRESSURE,1d,LONG,2026-01-01T14:17:26.000Z,2026-01-03T06:14:20.850Z,551.4628848428,535.5373131529,-0.0288787734,1.6645237336,0.7334494322,0.0082537411,0.004994871,0.6262714207
SPY,US,EQ_PULLBACK,JAN_SELL_PRESSURE,1d,SHORT,2026-01-01T14:28:22.000Z,2026-01-05T16:47:18.563Z,638.1447051016,631.3174435229,0.0106986104,4.096487999,0.2037895435,-0.004055042,-0.0020189571,0.6096468041
IWM,US,BREADTH_PRESSURE_SHORT,JAN_SELL_PRESSURE,1d,SHORT,2026-01-01T14:34:21.000Z,2026-01-03T18:40:56.767Z,239.034401193,236.1121677993,0.0122251583,2.1712473081,0.233300891,-0.0036030198,-0.0031920549,0.5935888966
DIA,US,BREADTH_PRESSURE_SHORT,JAN_SELL_PRESSURE,1d,LONG,2026-01-02T14:30:20.000Z,2026-01-04T08:35:29.812Z,455.9224090532,437.7969767384,-0.0397555197,1.7535857937,0.7735285728,0.0163409383,0.0088362623,0.6921093393
AAPL,US,EQ_PULLBACK,JAN_SELL_PRESSURE,1d,SHORT,2026-01-02T14:47:29.000Z,2026-01-05T03:38:01.285Z,245.1117147355,241.0360791327,0.0166276655,2.5350958934,0.2929871927,-0.0060422051,-0.0042246722,0.5655832839
NVDA,US,OVERSOLD_REBOUND,JAN_SELL_PRESSURE,1d,SHORT,2026-01-05T14:32:09.000Z,2026-01-07T12:51:17.524Z,183.6567266974,189.1922346376,-0.0301405129,1.9299597691,0.1871435041,-0.0100056905,-0.0074915914,0.687734421
MSFT,US,TREND_RANGE_FLIP,JAN_SELL_PRESSURE,1d,SHORT,2026-01-05T14:43:08.000Z,2026-01-08T14:38:38.574Z,521.712028874,512.2263127797,0.0181819003,2.996881646,0.3515304904,-0.0053781235,-0.0048740278,0.5287165079
TSLA,US,EQ_BREAKOUT,JAN_SELL_PRESSURE,1d,LONG,2026-01-06T15:28:21.000Z,2026-01-10T14:24:09.738Z,350.5898243387,334.621289334,-0.0455476283,3.9554252096,0.6673996536,0.0219794503,0.0065585176,0.6353896869
META,US,DISPERSION_SWING,JAN_SELL_PRESSURE,1d,SHORT,2026-01-06T15:38:38.000Z,2026-01-09T14:29:03.459Z,722.986565396,708.7936288553,0.0196309824,2.951683557,0.17340113,-0.0085651906,-0.0051085352,0.6618965264
GOOGL,US,OPENING_DRIVE_RECLAIM,JAN_SELL_PRESSURE,1d,LONG,2026-01-07T15:05:30.000Z,2026-01-08T20:39:30.790Z,217.2788325203,209.5787314304,-0.0354388,1.2319535961,0.6834532908,0.0171878401,0.0094356572,0.6125782893
AMZN,US,BREADTH_PRESSURE_SHORT,JAN_SELL_PRESSURE,1d,SHORT,2026-01-07T15:41:34.000Z,2026-01-09T11:37:43.757Z,250.580532304,247.7136519356,0.0114409541,1.8306684854,0.2015940014,-0.0054689254,-0.00229457,0.6137515628
NFLX,US,OVERBOUGHT_FADE,JAN_SELL_PRESSURE,1d,SHORT,2026-01-08T15:08:07.000Z,2026-01-11T01:12:22.638Z,1196.9744745174,1244.4962372935,-0.0397015674,2.4196254479,0.1770278818,-0.0142971908,-0.0114443779,0.7275252544
